num_sutures,loss,closure loss,shear loss,var loss,ideal loss,var loss - center,var loss - ins/ext
3.0,4425.570273216532,294.6380182144355,0.0,,6.0,0.0,0.0
2.0,50661.23249222638,3374.215499481759,0.0,,48.0,0.0,0.0
