num_sutures,loss,closure loss,shear loss,var loss,ideal loss
14.0,143.80924231396367,6.174683508028425,0.5432458586556338,19.229080436083912,40.36778844407343
16.0,388.261856434985,1.7016423944303287,0.5297767960861705,353.1694549542061,166.7511669994955
13.0,389.6901266149067,17.080944213061134,0.6438796016040748,46.783483150475874,114.5391726531777
15.0,472.0168941818124,10.4607542874616,0.6000941900779299,261.60162005242455,126.06578811781817
17.0,2904.3301117159544,126.60473525167883,0.5544597824451656,371.12648711748767,170.6447939699171
12.0,2947.0223527865505,138.84051970834665,0.605862892932605,169.00023283375242,178.52291918868212
18.0,6798.3965671444275,309.5983480391803,0.7794682461921673,604.8706698684368,282.32610803389184
11.0,7896.387700215366,383.48375319825664,0.45494355422331545,225.8027491417861,210.1059519437726
19.0,10218.441645429068,485.34846825985977,0.7664701739085965,509.9393398840545,284.91970425529644
10.0,15365.273082695467,761.1160279391866,0.41224487330319615,142.1280341651296,245.30902390438087
9.0,25897.53441680294,1282.4133223904112,0.28918272659706007,248.68960354152352,234.95600529170784
8.0,38507.68229802379,1918.848450774588,0.20615047941325954,130.30098157319696,236.6434030038878
