num_sutures,loss,closure loss,shear loss,var loss,ideal loss,var loss - center,var loss - ins/ext
59.0,5552.600921854148,157.86710204395018,349.6899964154757,,334.3529545749732,65.84631387280697,150.95385361175153
56.0,7076.368932063932,124.1136092156476,557.8204385547315,,661.3543108427803,137.93450093257576,303.87364324176804
57.0,7524.921157129997,245.3792328549583,343.7783379981752,,378.9100643508307,73.67320793205506,174.2835548083033
58.0,11020.787008070845,352.72980303704253,394.52810709886154,,609.3323615048181,105.24973408037022,319.0229873613048
54.0,11780.054068816124,452.34769939636203,279.4924244500736,,475.29287133558734,84.24550571309096,193.86152723860724
55.0,11848.75702823065,406.83656359586394,286.2107815751761,,586.0831532964667,124.16398959260239,274.93938634196513
52.0,14466.197391497682,593.16058855065,332.83552380114406,,422.472383968587,74.99971302980316,172.88633608745926
53.0,15328.532785011452,627.4978096403718,224.4638524963962,,467.4729171531997,88.77479767790486,210.72521917939397
51.0,17389.761493420767,763.543802855722,250.44035202875895,,388.6508488200599,61.75743007604026,146.1525952227208
50.0,21873.070319246934,880.8134088056823,309.6614446174078,,694.0472990499957,145.8149651609233,314.61661199456483
45.0,23164.71099500212,1014.0410493278019,237.60220091642583,,560.0385438280537,90.13878536481212,221.17003037258056
46.0,26149.361667971694,1151.2469625645308,245.64532477666458,,769.8855038695685,98.81029862196924,241.23469727735346
49.0,27948.821518194127,1283.0929278885787,161.85173938118655,,652.6889262427821,70.8317426586515,185.5464282927266
44.0,29016.775072453245,1310.486668630871,245.44496800983882,,657.641109400083,85.12418937453901,215.77691522028
48.0,30092.74491790614,1365.2163136588872,193.85099829049327,,597.5888707799843,91.0774867592765,217.96446783934914
47.0,33327.296304212134,1536.3483952929626,179.52835649023973,,613.2667170701664,84.59192760408371,204.36142568723315
41.0,33469.22203840959,1548.5905298211721,171.14366969323382,,680.5980750104809,77.3854187318954,204.4165129694896
43.0,36091.22731321356,1703.8464772241487,119.8814316478997,,679.1406176226482,56.95987524839866,181.83606707566625
42.0,37446.35269125955,1719.019909165756,119.93437234103747,,656.3008720426066,98.82753892335421,273.3592160303505
40.0,41371.83051412006,1962.0768591659435,128.98114144922485,,616.8942698586422,71.56093729749493,168.93330005546707
