num_sutures,loss,closure loss,shear loss,var loss,var loss - center,var loss - ins/ext,ideal loss
8.0,1507.1894941507524,4.76621523736708,23.8010735940146,,1.9972483020493115,60.85960691283236,927.5662765185873
9.0,3292.30781277154,123.78896755126507,27.692993534738907,,2.874265220395083,80.42535395894458,779.9650254304606
7.0,5502.5190660186745,257.52854311866747,21.189005197423217,,0.12592493364166601,63.665764184310554,1150.1402089419828
10.0,10750.038200578876,635.056539076561,31.822410008223404,,0.05332956242089919,71.59911527554225,634.8434179870404
6.0,15242.952819701088,887.9440321260865,16.695849423284265,,0.15282035355893686,61.39935290303589,1470.0831290324445
11.0,24119.532957880565,1522.6436643926656,40.212712531609945,,0.09297690077450109,89.01523466937928,543.6072985069568
5.0,31007.29936291421,1906.2262830326088,16.549571305057867,,0.1377471972943275,59.17580599382653,1974.4494585692983
12.0,42154.7128515511,2737.5277924025986,41.22918892441717,,0.02254857684610751,71.43197221019727,456.78760470670437
4.0,52891.10216499179,3320.98861099158,10.380570828129608,,0.7384044798093152,49.68381212563514,2717.4064194659186
13.0,66019.73867769066,4323.4503546455935,49.3773236688678,,0.07447955292828383,83.70346085219427,417.9822199141181
3.0,80826.25050023028,5087.16079857395,14.983582831414658,,0.2854948242689006,2.9730026566760457,4422.6566536326745
